,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
330,North,"Cheung Tak House, Cheung Wah Estate",,4293
331,Kwun Tong,"Lee Foo House, Shun Lee Estate",,4294
332,Yuen Long,Yau Pok Road,,4295
333,Sha Tin,"Block B, Mei Fung House, Mei Lam Estate",,4296
334,Sai Kung,"Yuk King House, King Ming Court",,4297
335,Sai Kung,"Yuk King House, King Ming Court",,4298
336,Wong Tai Sin,"Mei Tung House, Mei Tung Estate",,4299
337,Sham Shui Po,Beverly Court,,4300
338,North,"Phase 3, Po Shu Garden",,4301
339,North,"Phase 3, Po Shu Garden",,4302
340,Wong Tai Sin,"Lung Shun House, Lower Wong Tai Sin Estate",,4302
341,Sha Tin,"Orchid Court, New Town Plaza Phase III",,4303
342,Eastern,Yen Dack Building,,4304
343,Sai Kung,"Tower 7, Alto Residences",,4305
344,Yuen Long,Tai Kei Leng,,4306
345,Yuen Long,Tai Kei Leng,,4307
346,Yuen Long,"Block 6, Emerald Green",,4308
347,Kwun Tong,"Lee Hong House, Shun Lee Estate",,4309
348,Sha Tin,"Estoril Heights, Belair Gardens",,4310
349,Kwun Tong,"Lee Foo House, Shun Lee Estate",,4311
350,Central & Western,"Tower 1, Euston Court",,4312
351,Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,4313
352,Kwai Tsing,"Tower 1, The Apex",,4315
353,Tai Po,"Shin Tsui House, Fu Shin Estate",,4316
354,Kowloon City,"Hung Fai House, Hung Hom Estate",,4317
355,Islands,"Kam Ho Court, Treasure Bay",,4318
356,Sham Shui Po,"Tsui Tin House, Pak Tin Estate",,4319
357,Sham Shui Po,"Begonia House, So Uk Estate",,4320
358,Sham Shui Po,"Begonia House, So Uk Estate",,4321
359,Sham Shui Po,"Begonia House, So Uk Estate",,4322
360,Wong Tai Sin,"Pak Yuen House, Chuk Yuen North Estate",,4323
361,Wong Tai Sin,"Shun Tin House, Shatin Pass Estate",,4323
362,Sham Shui Po,Cheng Fai Building,,4324
363,Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",,4325
364,Kwai Tsing,"Nga Kwai House, Kwai Chung Estate",,4326
365,Sham Shui Po,"Fu Sing House, Fu Cheong Estate",,4327
366,Sham Shui Po,Kam Fai Building,,4328
367,Yau Tsim Mong,Wah Sun Building,,4329
368,Wong Tai Sin,"Lok On House, Tsz Lok Estate",,4330
369,Kwai Tsing,"Yiu Yam House, On Yam Estate",,4331
370,Sha Tin,Kwai Tei New Village,,4332
371,Southern,"Tung Hing House, Lei Tung Estate",,4333
372,Yuen Long,"Block 6, Emerald Green",,4334
373,Tuen Mun,"Block 9, Pearl Island Garden",,4335
374,Southern,"Wah Ming House, Wah Fu (I) Estate",,4336
375,Yuen Long,"Hor Ping House, Long Ping Estate",,4337
376,Islands,"Cherish Court, Peninsula-Vl-Capeland, Phase 4, Discovery Bay",,4338
377,Tuen Mun,"Tin Yue House, Tin King Estate",,4339
378,Eastern,"Fu Dat Court, Fortress Garden",,4341
379,Sham Shui Po,Nam Wan Building,,4342
380,North,Wo Hop Shek Village,,4342
381,Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",,4343
382,Kowloon City,"Block A, Loong King Mansion",,4344
383,Kowloon City,"Block A, Loong King Mansion",,4345
384,Sha Tin,"Block 38, City One Shatin",,4346
385,Tsuen Wan,Heung Wo Street,,4347
386,Yau Tsim Mong,Yau Shing Mansion,,4348
387,Yau Tsim Mong,"Phase 1, Tsui Yuen Mansion",,4349
388,Yau Tsim Mong,Yau Shing Mansion,,4350
389,Yau Tsim Mong,Yau Shing Mansion,,4351
390,Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,4352
391,Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",,4353
392,Yuen Long,"Fung Ping House, Long Ping Estate",,4354
393,Yuen Long,"Fung Ping House, Long Ping Estate",,4355
394,Kwai Tsing,"Yam Hing House, Shek Yam East Estate",,4357
395,North,"Choi Ngan House, Choi Po Court",,4358
396,Yuen Long,"Hung Shing House, Hung Fuk Estate",,4359
397,Yuen Long,"Yiu Chak House, Tin Yiu Estate",,4365
398,Yuen Long,Tai Yuen Villa,,4366
399,Tai Po,"Ng Tung Chai, Lam Tsuen",,4368
400,Kwun Tong,"Tsui Ying House, Tsui Ping (South) Estate",,4369
401,Sai Kung,"Po Kan House, Po Lam Estate",,4370
402,Sham Shui Po,"Block 2, Prince Centre",,4371
403,Kwun Tong,"Tsui Ying House, Tsui Ping (South) Estate",,4372
404,Tuen Mun,"High Block, King Fu House, Shan King Estate",,4373
405,Tuen Mun,Chung Uk Tsuen,,4374
406,Tuen Mun,"Hei Tin House, Yan Tin Estate",,4375
407,Sha Tin,"Tower 1, Marbella",,4376
408,Kowloon City,"Tower 3, The Astoria",,4377
409,Kwun Tong,"Tsui Ying House, Tsui Ping (South) Estate",,4378
410,Eastern,Fu Shing Court,,4379
411,Tuen Mun,"Yan Tai House, Fu Tai Estate",,4380
412,Tuen Mun,"Low Block, Wu Yuet House, Wu King Estate",,4381
413,Tai Po,Nga Yiu Tau,,4382
414,Kowloon City,"Kin Man House, Oi Man Estate",,4383
415,Tuen Mun,"Kin Tai House, Fu Tai Estate",,4384
416,Central & Western,Tung Hing Mansion,,4385
417,Kwun Tong,"Tat Fu House, Po Tat Estate",,4386
418,Kwun Tong,"Hiu Yat House, Hiu Lai Court",,4387
419,Eastern,Wah Shing Mansion,,4388
420,Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",,4389
421,Kowloon City,"Lok Fung Lau, Lok Man Sun Chuen",,4390
422,Kwun Tong,"Ping Chun House, Ping Tin Estate",,4391
423,Sha Tin,"Mei Chi House, Mei Tin Estate",,4393
424,Sham Shui Po,"Block 2, Prince Centre",,4394
425,Eastern,"Block 3, Harmony Garden",,4395
426,North,Century Court,,4396
427,Wong Tai Sin,"Pak Yuen House, Chuk Yuen North Estate",,4397
428,Kwun Tong,"Tin Yiu House, Shun Tin Estate",,4398
429,Wong Tai Sin,"Lok On House, Tsz Lok Estate",,4399
430,Wong Tai Sin,"Lok On House, Tsz Lok Estate",,4400
431,Wan Chai,Haven Court,,4401
432,Wan Chai,27 Queen's Road East,,4402
433,Kowloon City,"Block 3, Chung Nam Mansion",,4403
434,Sha Tin,"Tower 4, Man Lai Court",,4404
435,Sha Tin,"Kam Lan House, Kam Fung Court",,4404
436,Yau Tsim Mong,Novotel Nathan Road Kowloon Hong Kong,,4405
437,Yau Tsim Mong,Novotel Nathan Road Kowloon Hong Kong,,4406
438,Yau Tsim Mong,The Luxe Manor,,4407
439,Sham Shui Po,"Cheung Tai House, Cheung Sha Wan Estate",,4409
440,Kwun Tong,"Sau Tak House, Sau Mau Ping South Estate",,4410
441,Sha Tin,"Fung Shek House, Shek Mun Estate",,4411
442,Tuen Mun,"Tin Yue House, Tin King Estate",,4412
443,Tsuen Wan,Indi home,,4413
444,Kwai Tsing,Kwai Chung Container Terminal,,4414
445,Islands,Pak Lee Villa,,4415
446,Southern,"Pik Long House, Shek Pai Wan Estate",,4416
447,Tuen Mun,"Wing Lun House, Siu Lun Court",,4417
448,Kwai Tsing,Kwai Chung Container Terminal,,4418
449,Kowloon City,99 Maidstone Road,,4419
450,Kwai Tsing,Kwai Chung Container Terminal,,4420
451,Tuen Mun,"Block 12, Yuet Wu Villa",,4421
452,North,Ho Sheung Heung,,4422
