,Unnamed: 0,Building name,Related probable/confirmed cases,count,lat_col,long_col
976,976,"Ting Fung House, Ning Fung Court","4037, 4221",2,22.37241805,114.13803408839486
977,977,"Ting Yau House, Siu On Court",4528,1,22.38903255,113.97672508909486
978,978,To Kwa Wan Maket and Government Offices ,"1498, 1620, 1716, 1754, 2265, 2296, 2322, 2338, 2496, 2896, 3031, 3183, 3669",13,,
979,979,Tong Nam Mansion ,"2026, 3432",2,22.2852496,114.13477334999999
980,980,Tower 1 Laguna Verde ,4469,1,19.1698459,-96.1630457
981,981,Tower 1 Lions Rise ,4191,1,22.3404191,114.19679998117701
982,982,"Tower 1, Euston Court",4312,1,-27.5148774,153.239323
983,983,"Tower 1, Grand Waterfront",3693,1,22.3192621,114.19356536170389
984,984,"Tower 1, Greenfield Court",3723,1,40.6195838,-74.072257
985,985,"Tower 1, Heya Aqua",3649,1,22.338784150000002,114.15434980911513
986,986,"Tower 1, Marbella",4376,1,-31.4285118,-64.2189233
987,987,"Tower 1, Phase 1, Festival City",3665,1,25.2219379,55.3528377
988,988,"Tower 1, Phase 2, Tai Hing Gardens",4448,1,22.3996577,113.9731805
989,989,"Tower 1, The Apex","4282, 4315",2,45.50457735,-122.6533162050746
990,990,"Tower 1, The Sparkle",3956,1,52.34290540000001,-1.5792194000014923
991,991,"Tower 1, Wing Fai Centre","3722, 3874, 3983",3,22.50141625,114.14293755846435
992,992,"Tower 12, Park Central",3909,1,51.53211845,-0.02144818537356346
993,993,"Tower 1A, MacPherson Place",3715,1,55.9869602,-3.7975494
994,994,"Tower 1A, Macpherson Place",3617,1,55.9869602,-3.7975494
995,995,"Tower 1B, MacPherson Place",4161,1,55.9869602,-3.7975494
996,996,"Tower 1B, Wings At Sea, LOHAS Park",4074,1,22.2956555,114.2687716
997,997,Tower 2 Centrestage Classified ,"3180, 3478",2,,
998,998,"Tower 2, Aria Kowloon Peak",3629,1,22.33910325,114.21383605141763
999,999,"Tower 2, Crystal Park",4453,1,35.0032196,-78.9505833
1000,1000,"Tower 2, Heya Green",3941,1,22.33728775,114.1602699578824
1001,1001,"Tower 2, Ori",4467,1,47.6664485,-2.9833718
1002,1002,"Tower 3, Fleur Pavilia",3686,1,22.29000655,114.20374265897104
1003,1003,"Tower 3, Lake Silver",3920,1,22.42862075,114.24397364106841
1004,1004,"Tower 3, Phase 1, Festival City",4195,1,25.2219379,55.3528377
1005,1005,"Tower 3, The Astoria",4377,1,22.3239114,114.18415400668354
1006,1006,"Tower 3, The Parcville",4135,1,22.45056915,114.03279379626935
1007,1007,"Tower 3, The Spectra",3595,1,22.4485938,114.02675666454668
1008,1008,"Tower 4, Man Lai Court",4404,1,22.37498335,114.18190937336578
1009,1009,"Tower 5, Island Harbourview",3714,1,22.319268549999997,114.15733039516999
1010,1010,"Tower 5, Lake Silver",4541,1,22.42862075,114.24397364106841
1011,1011,"Tower 5, Oasis Kai Tak","4473, 4477",2,22.32695905,114.20153406675124
1012,1012,"Tower 5, The Parcville",3751,1,22.45056915,114.03279379626935
1013,1013,"Tower 5B, Wings At Sea, LOHAS Park",3965,1,22.2956555,114.2687716
1014,1014,"Tower 6, Aria Kowloon Peak","3630, 3631",2,22.33910325,114.21383605141763
1015,1015,"Tower 6, Le Prestige, LOHAS Park","3658, 3982",2,22.2956555,114.2687716
1016,1016,"Tower 6, The Beaumount",4002,1,34.8381332,-85.1918973
1017,1017,"Tower 7, Alto Residences","4269, 4305",2,22.3028173,114.25818471773542
1018,1018,"Tower 7, Bellagio",4277,1,36.1123192,-115.17872301406729
1019,1019,"Tower 7, The Parcville","4492, 4536, 4537",3,22.45056915,114.03279379626935
1020,1020,"Tower 8, Marinella",3697,1,39.0831639,17.1229548
1021,1021,"Tower 8, The Latitude","3716, 4071",2,22.33339155,114.19674325893027
1022,1022,"Tower 9, Mantin Heights",3679,1,22.318428349999998,114.1821545762572
1023,1023,"Tower 9, Ocean Shores",3922,1,22.302191800000003,114.25360358911541
1024,1024,"Tower 9, Park Signature",3799,1,22.43678415,114.02299851067457
1025,1025,Tower I Metroplaza ,4338,1,22.3574304,114.12678121213142
1026,1026,Trans Asia Centre ,"3077, 3265",2,22.3702387,114.13031581454348
1027,1027,Travelodge Kowloon Marco's Oyster Bar & Grill ,4141,1,,
1028,1028,Treasure Garden ,4438,1,22.453366449999997,114.1663567626733
1029,1029,Trend Plaza ,"2038, 2773",2,22.3931604,113.97571418440447
1030,1030,Tseng Tau Tsuen,4234,1,22.4738466,114.2002539
1031,1031,Tseung Kwan O Plaza ,"2537, 2608, 3424, 4002",4,22.30892915,114.26260260691501
1032,1032,Tseung Kwan O Plaza Mcdonald's ,3935,1,22.30892915,114.26260260691501
1033,1033,Tsing Yi Garden ,4043,1,22.353739349999998,114.10509046659902
1034,1034,Tsing Yi South Fire Station ,"2391, 2475, 2496, 2723",4,22.336979749999998,114.09389269181372
1035,1035,Tsuen Fung Centre ,4495,1,22.3720366,114.11927233228312
1036,1036,Tsuen Fung Centre Shopping Arcade ,"3728, 4495",2,,
1037,1037,Tsuen Shek House Ping Shek Estate ,"1904, 3290",2,,
1038,1038,Tsuen Wan Market ,"2624, 2686, 3244",3,22.3713364,114.11716613875996
1039,1039,Tsuen Wan Town Square ,4217,1,22.37133715,114.11858874828252
1040,1040,Tsui Fung House,3921,1,22.34449475,114.196854
1041,1041,Tsui Lam Market Place ,"4297, 4298",2,22.3186651,114.2505479
1042,1042,Tsui Lam Square ,4297,1,22.322749,114.24900992326339
1043,1043,Tsui Man Court ,3943,1,22.3161347,114.17329437435512
1044,1044,"Tsui Ming House, Chung Ming Court","3787, 4130",2,22.317871500000003,114.26284489880538
1045,1045,Tsui Ping (North) Estate Caf 100% ,4372,1,,
1046,1046,Tsui Ping (North) Shopping Circuit ,"2807, 2833, 3055, 4148, 4372",5,,
1047,1047,Tsui Shan House Cheung Shan Estate ,"2509, 3117",2,,
1048,1048,"Tsui Tin House, Pak Tin Estate","4045, 4319",2,22.33663425,114.16702658278244
1049,1049,"Tsui Wing House, Tsui Ping (South) Estate",3768,1,22.31246865,114.23258595219066
1050,1050,"Tsui Wo House, Tai Wo Estate",4262,1,22.4496562,114.16144723826108
1051,1051,"Tsui Ying House, Tsui Ping (South) Estate","4289, 4369, 4372, 4378",4,22.31246865,114.23258595219066
1052,1052,Tsui Yuen Mansion (Phase II)  ,4047,1,22.3161347,114.17329437435512
1053,1053,Tsz Ching Shopping Centre II ,"1552, 1662, 2345, 2349",4,,
1054,1054,"Tsz Jing House, Block 2, Po Shek Wu Estate",3747,1,,
1055,1055,Tsz Tin Tsuen,4548,1,22.41673,113.9757371
